particle_id,x,y,z
1,199.938965,365.773956,30.223942
2,214.945984,472.536072,98.274994
3,891.099060,143.423965,725.343079

1,99.938889,265.773895,30.223825
2,114.945938,372.536194,98.274979
3,791.099182,43.423920,625.343201

1,99.938774,165.773804,30.223656
2,14.945862,272.536346,98.274963
3,691.099365,43.423843,525.343384

1,99.938652,65.773697,30.223434
2,14.945718,172.536560,98.274948
3,591.099609,43.423744,425.343628

1,99.938522,65.773552,30.223164
2,14.945508,72.536804,98.274925
3,491.099976,43.423637,325.343903

1,99.938393,65.773407,30.222836
2,14.945220,72.537064,98.274918
3,391.100403,43.423523,225.344238

1,99.938255,65.773262,30.222452
2,14.944852,72.537323,98.274925
3,291.100891,43.423405,125.344620

1,99.938118,65.773125,30.222019
2,14.944402,72.537590,98.274956
3,191.101471,43.423275,25.345024

1,99.937965,65.772995,30.221560
2,14.943873,72.537872,98.275032
3,91.102142,43.423126,25.345407

1,99.937866,65.772903,30.221081
2,14.943276,72.538170,98.275169
3,91.102837,43.422924,25.345751

1,99.937820,65.772850,30.220583
2,14.942611,72.538483,98.275368
3,91.103546,43.422668,25.346054

1,99.937828,65.772835,30.220064
2,14.941876,72.538811,98.275620
3,91.104271,43.422356,25.346317

1,99.937889,65.772858,30.219526
2,14.941073,72.539154,98.275932
3,91.105011,43.421989,25.346540

1,99.938004,65.772926,30.218969
2,14.940202,72.539513,98.276306
3,91.105766,43.421570,25.346724

1,99.938171,65.773033,30.218391
2,14.939261,72.539886,98.276741
3,91.106537,43.421093,25.346867

1,99.938393,65.773178,30.217794
2,14.938252,72.540276,98.277237
3,91.107323,43.420563,25.346968

1,99.938667,65.773361,30.217178
2,14.937175,72.540680,98.277794
3,91.108124,43.419975,25.347029

1,99.938995,65.773582,30.216541
2,14.936028,72.541100,98.278412
3,91.108940,43.419334,25.347050

1,99.939377,65.773842,30.215885
2,14.934813,72.541534,98.279091
3,91.109772,43.418640,25.347031

1,99.939812,65.774147,30.215208
2,14.933530,72.541985,98.279823
3,91.110619,43.417889,25.346972

1,99.940300,65.774490,30.214512
2,14.932178,72.542450,98.280617
3,91.111481,43.417084,25.346872

1,99.940842,65.774872,30.213797
2,14.930757,72.542931,98.281471
3,91.112366,43.416225,25.346733

1,99.941437,65.775291,30.213060
2,14.929267,72.543427,98.282387
3,91.113266,43.415310,25.346554

1,99.942085,65.775749,30.212305
2,14.927709,72.543938,98.283363
3,91.114182,43.414341,25.346334

1,99.942787,65.776245,30.211531
2,14.926082,72.544464,98.284401
3,91.115112,43.413319,25.346075

1,99.943542,65.776787,30.210735
2,14.924386,72.545006,98.285500
3,91.116058,43.412239,25.345774

1,99.944344,65.777367,30.209921
2,14.922622,72.545563,98.286652
3,91.117020,43.411106,25.345432

1,99.945198,65.777985,30.209085
2,14.920789,72.546135,98.287865
3,91.117996,43.409916,25.345051

1,99.946106,65.778641,30.208231
2,14.918887,72.546722,98.289139
3,91.118988,43.408672,25.344629

1,99.947067,65.779335,30.207357
2,14.916917,72.547325,98.290474
3,91.119995,43.407375,25.344168

1,99.948082,65.780075,30.206463
2,14.914878,72.547943,98.291870
3,91.121017,43.406021,25.343666

1,99.949150,65.780853,30.205549
2,14.912770,72.548576,98.293327
3,91.122055,43.404613,25.343124

1,99.950272,65.781670,30.204617
2,14.910594,72.549225,98.294846
3,91.123108,43.403152,25.342543

1,99.951447,65.782524,30.203663
2,14.908349,72.549889,98.296425
3,91.124176,43.401634,25.341921

1,99.952675,65.783417,30.202690
2,14.906035,72.550568,98.298058
3,91.125259,43.400063,25.341259

1,99.953957,65.784348,30.201696
2,14.903653,72.551262,98.299751
3,91.126358,43.398438,25.340557

1,99.955292,65.785324,30.200684
2,14.901202,72.551971,98.301506
3,91.127472,43.396755,25.339813

1,99.956680,65.786339,30.199652
2,14.898684,72.552696,98.303322
3,91.128601,43.395020,25.339029

1,99.958122,65.787392,30.198599
2,14.896096,72.553436,98.305199
3,91.129745,43.393227,25.338205

1,99.959618,65.788483,30.197527
2,14.893440,72.554192,98.307137
3,91.130905,43.391380,25.337341

1,99.961166,65.789612,30.196434
2,14.890716,72.554962,98.309135
3,91.132088,43.389481,25.336437

1,99.962769,65.790787,30.195322
2,14.887922,72.555748,98.311188
3,91.133286,43.387524,25.335493

1,99.964424,65.792000,30.194191
2,14.885060,72.556549,98.313301
3,91.134499,43.385513,25.334509

1,99.966125,65.793251,30.193039
2,14.882130,72.557365,98.315475
3,91.135727,43.383450,25.333485

1,99.967880,65.794540,30.191868
2,14.879130,72.558197,98.317711
3,91.136971,43.381329,25.332420

1,99.969688,65.795868,30.190676
2,14.876062,72.559044,98.320007
3,91.138229,43.379154,25.331316

1,99.971550,65.797234,30.189465
2,14.872926,72.559906,98.322365
3,91.139503,43.376926,25.330172

1,99.973465,65.798645,30.188234
2,14.869720,72.560783,98.324783
3,91.140793,43.374641,25.328987

1,99.975433,65.800095,30.186983
2,14.866446,72.561676,98.327263
3,91.142097,43.372303,25.327761

1,99.977455,65.801582,30.185713
2,14.863104,72.562584,98.329796
3,91.143417,43.369907,25.326494

1,99.979530,65.803108,30.184423
2,14.859693,72.563507,98.332390
3,91.144753,43.367458,25.325188

1,99.981659,65.804672,30.183113
2,14.856213,72.564445,98.335045
3,91.146103,43.364956,25.323841

1,99.983841,65.806282,30.181784
2,14.852664,72.565399,98.337761
3,91.147469,43.362396,25.322454

1,99.986076,65.807930,30.180433
2,14.849047,72.566368,98.340538
3,91.148849,43.359783,25.321028

1,99.988365,65.809616,30.179064
2,14.845361,72.567352,98.343376
3,91.150246,43.357117,25.319561

1,99.990707,65.811340,30.177675
2,14.841606,72.568352,98.346275
3,91.151657,43.354393,25.318054

1,99.993103,65.813103,30.176266
2,14.837783,72.569366,98.349228
3,91.153084,43.351616,25.316507

1,99.995552,65.814911,30.174837
2,14.833891,72.570396,98.352242
3,91.154526,43.348782,25.314920

1,99.998055,65.816757,30.173388
2,14.829930,72.571442,98.355316
3,91.155991,43.345894,25.313293

1,0.000610,65.818642,30.171919
2,14.825901,72.572502,98.358452
3,91.157471,43.342953,25.311626

1,0.003108,65.820534,30.170406
2,14.821849,72.573578,98.361664
3,91.159027,43.339985,25.309925

1,0.005550,65.822433,30.168852
2,14.817775,72.574669,98.364952
3,91.160660,43.336994,25.308191

1,0.007938,65.824333,30.167255
2,14.813678,72.575775,98.368317
3,91.162369,43.333981,25.306423

1,0.010270,65.826241,30.165615
2,14.809559,72.576904,98.371758
3,91.164154,43.330944,25.304623

1,0.012548,65.828156,30.163933
2,14.805417,72.578049,98.375275
3,91.166016,43.327885,25.302788

1,0.014771,65.830078,30.162207
