particle_id,x,y,z
1,258.902008,144.610001,278.049011
2,282.811005,75.402000,137.425995
3,118.061996,214.901993,208.873993
4,173.626999,200.653000,119.026993
5,147.156006,68.692001,55.836998
6,6.094000,74.939003,275.779999
7,168.875000,289.420013,103.855003
8,214.979996,8.527000,46.443001
9,47.259998,270.042999,99.040001
10,83.098999,109.293999,80.371002
11,210.274994,164.966995,44.272999
12,95.105003,44.540001,210.552002
13,262.678009,203.712997,282.414001
14,182.546005,138.380005,273.872009
15,249.859985,0.620000,249.959015
16,238.210007,0.691000,226.628998
17,38.778000,206.417007,64.303001
18,225.421997,97.015999,168.960999
19,200.264999,146.147003,5.991000
20,9.239000,23.116001,262.954010
21,10.830999,52.221001,200.100006
22,232.261993,286.316010,221.039001
23,204.229004,258.808014,82.591003
24,93.318001,10.195999,29.421001
25,139.942001,10.660000,233.876007
26,256.695007,239.623001,13.895000
27,183.697006,278.667999,247.109009
28,193.154007,187.192001,186.072998
29,257.622986,58.255997,167.054993
30,65.237999,266.842987,271.126007
31,17.195999,21.134001,166.656998
32,64.389000,148.285995,158.574997
33,89.592003,35.984001,262.343994
34,39.098999,201.468002,173.003006
35,239.389008,69.549004,87.001999
36,193.660995,42.445000,37.750000
37,277.934998,41.223000,257.770996
38,241.662003,231.712997,3.851000
39,108.313004,119.203003,175.962997
40,195.878006,146.888000,237.785995
41,284.016998,254.890991,98.900002
42,254.542999,137.824005,211.675995
43,166.927002,189.085999,59.767998
44,191.158005,201.102997,255.177002
45,127.026001,154.792999,123.399994
46,192.061005,177.634003,49.823002
47,280.575012,124.707001,125.304001
48,118.557999,31.194000,235.126999
49,112.941002,132.559998,49.113998
50,209.473007,196.962006,232.007004
51,27.119999,50.630001,188.522995
52,132.936996,233.326996,180.434998
53,75.857002,121.695999,252.010986
54,21.940001,64.053001,27.094002
55,116.416000,137.917007,3.548000
56,283.023987,276.518005,219.701996
57,216.651993,115.716003,21.252001
58,273.321991,164.585007,260.558990
59,139.279999,251.092010,157.860001
60,147.136002,253.855011,271.959991
61,87.657997,149.695999,1.222000
62,215.490997,73.223000,122.815994
63,243.929001,6.053000,105.224998
64,124.973007,128.807999,178.365005
65,44.764999,181.975006,194.957001
66,161.779007,230.462997,178.444000
67,195.863007,250.737000,109.097000
68,166.740997,269.713989,70.237000
69,202.826996,37.882999,217.828003
70,112.473000,171.061005,95.655998
71,204.255997,131.738007,167.123993
72,81.082001,222.311005,183.054001
73,201.154007,110.592003,5.144000
74,254.169006,201.257004,208.436005
75,3.675000,275.131012,6.537001
76,3.044000,83.107002,283.963013
77,37.102001,103.288002,260.971985
78,131.218002,186.024994,229.522003
79,47.297001,15.048000,176.630005
80,175.399994,1.261000,80.080002
81,143.529999,125.992004,192.384003
82,239.194000,197.039001,178.789001
83,8.228000,71.342003,23.304001
84,208.466995,92.686996,114.478996
85,126.757996,29.722000,145.860001
86,54.852997,32.248001,174.787003
87,118.612000,169.432007,14.624001
88,48.303001,88.377998,68.425003
89,170.395996,217.130005,164.582993
90,164.776001,254.720001,279.731995
91,168.664993,28.102001,148.276993
92,260.084015,1.260000,122.766006
93,3.762000,154.164001,24.103001
94,0.035000,22.518002,212.246002
95,249.220001,190.789993,277.096008
96,79.100998,215.414993,217.845993
97,251.480011,214.246994,113.610001
98,223.626007,34.173000,2.928000
99,235.341995,143.591003,232.182999
100,176.470001,60.105003,125.320007
101,151.884995,282.459015,29.731998
102,1.944000,242.705994,200.550003
103,4.201000,250.536011,244.266998
104,187.656998,23.979000,253.859009
105,264.851990,241.181000,192.274002
106,30.400002,169.815002,42.445000
107,111.603996,20.629000,11.621000
108,36.087002,263.352997,170.158005
109,20.878000,231.283997,174.033005
110,55.043999,157.278000,179.421005
111,111.679001,131.990997,5.929000
112,3.962000,259.815002,95.781998
113,235.485992,15.392000,13.742001
114,52.480999,175.785004,240.210007
115,234.662003,167.591995,71.763000
116,163.356995,3.535000,226.957993
117,286.872986,248.229004,18.535000
118,58.709000,279.838013,197.925995
119,241.466995,9.337000,202.757996
120,101.053001,208.369995,239.119003
121,94.257004,66.629997,227.625000
122,55.890999,241.750000,32.862000
123,118.294006,281.075012,33.903999
124,14.243000,72.853996,139.891998
125,264.093994,17.354000,91.963997
126,41.669998,282.140991,249.970001
127,187.128998,30.574001,64.738998
128,199.082993,200.238007,9.976999
129,137.302994,80.362000,114.742996
130,144.921997,121.300003,136.089005
131,1.996000,67.445999,57.484001
132,45.994999,109.200996,67.820999
133,61.257004,102.231003,257.765991
134,8.172000,43.328999,81.599998
135,0.535000,44.516998,168.264008
136,159.968994,212.007996,31.412998
137,151.350998,28.620998,208.664001
138,213.981995,178.169006,113.639999
139,55.919998,68.706001,79.771004
140,288.226990,46.383999,167.468002
141,80.728996,184.410995,70.984001
142,152.347000,122.981003,133.955002
143,247.420990,142.425995,134.625000
144,171.022003,54.910004,239.164001
145,53.313999,98.871002,166.641006
146,13.865000,186.298004,189.675003
147,168.500000,50.550999,190.347000
148,116.144997,164.227997,69.358002
149,164.149002,129.794006,25.477001
150,10.548000,5.781000,109.017998
151,164.830002,242.158997,279.283997
152,136.309998,83.383003,5.967000
153,188.054001,190.886002,152.914001
154,71.777000,140.746002,136.701996
155,21.009001,6.708000,32.706001
156,90.985001,129.733994,283.895996
157,1.491000,235.319000,98.563004
158,71.748001,7.032000,207.223999
159,70.550003,127.830994,242.399002
160,140.113007,219.371994,165.798004
161,182.798004,260.078003,270.721008
162,250.463989,100.875999,43.352001
163,190.244995,126.285995,258.933014
164,253.963013,257.141998,39.269001
165,96.335999,216.153000,115.815002
166,213.867004,11.136000,10.239000
