particle_id,x,y,z
1,834.995972,211.779999,694.416992
2,908.593018,726.710999,303.622986
3,634.413025,152.682007,92.137001
4,452.601990,943.780029,820.258972
5,76.666000,70.213997,289.328003
6,728.465027,817.218018,897.882996
7,736.318970,791.163025,555.296997
8,578.114990,786.874023,909.947021
9,51.700001,200.209000,756.867004
10,900.291016,850.791016,322.290009
11,200.888000,820.156006,806.000977
12,472.239990,865.299011,727.726990
13,434.800995,938.797974,442.954987
14,176.964996,723.151001,979.338013
15,680.093994,916.403015,218.503998
16,356.653992,38.507999,537.116028
17,402.985992,592.638000,128.352005
18,831.828003,297.052002,38.113998
19,911.405029,200.022995,260.251007
20,905.866028,719.700989,434.862000
21,88.181000,692.330994,445.973999
22,69.858002,442.178986,106.068001
23,884.401978,6.767000,938.507019
24,827.091980,451.945007,814.830994
25,913.171021,884.549011,893.036987
26,232.332001,639.161011,220.207993
27,982.554016,157.617996,958.528992
28,98.578003,973.447021,975.278992
29,642.017029,242.684998,319.154999
30,8.959000,509.517029,253.941986
31,439.476013,819.221008,281.670990
32,107.220001,438.109009,928.187988
33,667.718018,410.859009,63.362000
34,139.912003,109.406998,216.477005
35,320.834991,575.276001,597.585022
36,138.710999,489.984009,372.200989
37,736.130981,807.896973,916.614990
38,734.572021,431.386993,985.989014
39,209.035995,127.042999,102.707001
40,603.221008,580.018005,484.535004
41,502.421021,29.492001,750.606995
42,125.740005,899.768005,322.471985
43,59.666000,139.897003,370.634003
44,383.592010,404.533997,258.412994
45,812.187012,893.586975,125.000000
46,67.297997,779.624023,321.322998
47,796.122986,612.067993,48.542000
48,488.822998,253.466003,117.633003
49,783.307983,138.389999,954.005981
50,462.489014,10.171000,876.575012
51,938.898987,980.645996,670.713013
52,226.158005,138.546005,747.265991
53,214.134995,651.276001,769.780029
54,766.179993,338.621002,106.560997
55,427.390015,590.044006,16.184999
56,2.024000,926.825989,546.273987
57,769.299988,380.579987,722.099976
58,855.893005,367.148987,920.677002
59,711.448975,13.365999,704.747986
60,323.031006,277.712006,908.518982
61,327.549988,178.625000,616.395020
62,735.205994,502.265015,359.550995
63,632.835999,646.356018,153.723007
64,505.864014,159.339005,573.450012
65,709.312012,514.763977,750.802979
66,540.697021,533.742981,728.463013
67,3.905000,944.749023,933.971985
68,778.645020,291.296997,420.489990
69,187.246994,202.669998,511.505981
70,918.523987,830.278992,3.008000
71,460.272003,946.163025,218.203003
72,741.927979,872.255981,653.872009
73,328.105988,870.679993,874.744995
74,894.104980,647.989990,490.406006
75,507.085022,60.792000,700.481995
76,597.317017,0.612000,481.917999
77,754.172974,842.765015,213.826004
78,591.570007,921.359009,260.945007
79,541.293030,424.165985,257.427002
80,170.085999,471.266998,187.201996
81,278.477997,569.429993,157.664001
82,762.911011,663.663025,805.768005
83,653.289001,878.025024,929.898010
84,260.084015,509.773010,186.643005
85,640.773010,524.979980,368.575989
86,167.162003,143.925995,703.578003
87,767.484009,694.536987,808.661987
88,308.864990,346.256012,57.640999
89,343.752991,753.827026,282.890015
90,334.036987,677.895996,610.229980
91,376.342987,388.789001,706.362976
92,282.144012,585.226013,914.624023
93,456.029999,647.434021,955.054993
94,827.551025,417.580994,104.324997
95,649.247986,604.242981,860.182007
96,797.203979,23.462002,353.545990
97,692.822021,367.001007,813.367981
98,710.473999,820.203979,41.816002
99,576.307007,415.212006,73.500000
100,214.488998,628.250000,755.533020
101,190.498001,504.484009,502.408020
102,910.044006,574.898987,303.533997
103,390.471008,356.096008,933.594971
104,432.458008,68.170998,570.208984
105,85.285004,787.018982,624.158997
106,874.237000,510.578979,232.457993
107,45.290001,872.838989,817.164978
108,218.794998,955.554016,807.460022
109,944.768005,584.164978,782.143982
110,727.523010,544.278992,837.840027
111,6.697000,799.857971,129.291000
112,313.776001,832.401001,724.260010
113,787.190002,671.405029,695.017029
114,528.158997,184.809006,539.455994
115,420.053986,226.841995,636.146973
116,615.659973,169.686996,145.686996
117,389.009003,375.160004,825.562012
118,267.440002,47.981998,894.791992
119,240.779007,920.419006,435.639008
120,433.071991,729.244019,347.446991
121,809.008972,424.571014,965.312012
122,539.317017,376.164001,816.692993
123,55.661003,520.250977,670.393982
124,470.213989,227.850998,193.660004
125,765.780029,167.404007,171.867996
126,827.297974,917.468018,686.484985
127,307.714996,287.218994,655.624023
128,87.127998,879.583984,555.773010
129,477.132996,116.394997,394.433014
130,427.416992,122.121002,292.164001
131,437.303009,945.312988,162.115997
132,940.114014,671.719971,822.833008
133,26.620998,687.137024,484.326996
134,553.335022,17.291000,766.703003
135,239.990005,817.809021,749.044983
136,575.218018,768.416992,801.494019
137,812.226013,950.007996,697.484009
138,649.919006,66.672997,961.283997
139,119.292999,708.366028,199.231995
140,839.375000,614.716980,978.638000
141,833.278015,536.544983,180.503006
142,961.643005,64.781998,604.883972
143,150.770004,91.375999,930.901001
144,142.998001,90.771004,791.731018
145,857.757996,352.839996,645.387024
146,967.442993,445.609009,985.463013
147,905.008972,983.015015,730.945984
148,499.209991,316.154999,66.237999
149,445.862000,796.528015,970.424011
150,13.349001,708.484985,663.460022
151,715.768005,261.112000,576.268005
152,570.010010,60.583000,413.656006
153,930.025024,294.368988,778.315002
154,3.154000,548.939026,288.997986
