particle_id,x,y,z
1,700.198975,218.897003,431.511993
2,480.670990,699.802979,299.191010
3,944.494995,434.688995,315.002014
4,458.390015,71.327003,228.987000
5,940.036987,301.446014,517.411987
6,619.981018,662.482971,203.279007
7,597.083008,848.172974,212.123993
8,334.989990,360.424988,864.463989
9,963.731018,65.796997,465.838013
10,171.908005,421.167999,797.875977
11,168.800995,909.896973,112.509003
12,424.473999,2.947000,23.794998
13,74.141998,889.109985,855.815979
14,511.804993,374.720001,610.038025
15,316.558990,753.528015,805.995972
16,740.013000,528.682983,723.786011
17,980.258972,451.092010,14.040001
18,546.409973,155.934998,503.155029
19,96.101997,909.880005,936.651001
20,15.424999,733.906982,308.704010
21,624.744995,752.882019,758.901978
22,964.687988,373.507996,862.612000
23,433.618011,469.364990,192.768005
24,719.223999,625.564026,214.488007
25,94.091003,352.964996,396.415009
26,359.282013,686.465027,566.940002
27,814.473022,112.088997,236.337997
28,504.078003,563.601013,618.393982
29,409.338989,790.630981,504.052979
30,713.461975,949.934021,152.871002
31,86.356003,128.026001,609.072998
32,24.108002,377.782013,922.507996
33,661.226013,176.651993,144.279007
34,178.634995,353.717010,988.442017
35,920.080994,99.789001,221.992996
36,973.096008,131.341003,985.091003
37,782.447998,98.310997,449.562012
38,877.107971,574.973999,928.018982
39,146.328995,709.306030,900.752991
40,390.885010,681.703003,926.489990
41,808.724976,356.800995,88.084000
42,494.908997,942.206970,240.688004
43,741.919983,892.351013,127.397995
44,453.510986,549.900024,197.289001
45,953.536987,977.765015,262.518005
46,105.790001,566.710999,662.968994
47,700.877991,429.510010,496.145996
48,922.888977,590.327026,756.935974
49,463.510986,966.565979,762.827026
50,209.087997,879.711975,153.412994
51,828.815002,69.363998,988.606018
52,814.820984,648.255005,974.033020
53,900.343994,409.502991,454.433990
54,976.216980,939.320007,188.272003
55,433.063995,927.760986,955.650024
56,645.114014,703.812988,771.604980
57,886.575989,680.200989,781.781006
58,963.166992,146.548004,267.170013
59,933.742004,459.993011,789.630981
60,634.697021,68.597000,2.902000
61,82.572998,360.404999,509.710999
62,682.101990,573.570007,688.453003
63,948.005005,65.667999,850.375977
64,300.898987,513.104980,458.100006
65,585.143982,477.886993,354.476013
66,404.803009,450.554993,314.393005
67,946.987976,894.559998,741.124023
68,579.588989,774.995972,352.355011
69,966.458984,865.372009,330.515991
70,192.740997,857.478027,219.817993
71,938.877014,249.296997,762.026978
72,158.867004,717.963989,510.911011
73,516.400024,885.898010,25.056999
74,504.257019,15.181000,255.399994
75,434.337006,152.363007,868.515015
76,582.887024,31.441002,530.905029
77,258.566986,82.865997,421.566986
78,54.457001,591.109985,79.035004
79,464.803009,164.707001,421.362000
80,528.135010,502.237000,474.662994
81,756.010010,605.994019,552.237000
82,413.238007,545.216003,487.001007
83,27.002998,124.563004,170.684998
84,943.453003,99.272003,974.294983
85,371.205994,343.352997,354.196014
86,117.356003,393.782013,937.812988
87,196.990005,729.918030,126.128006
88,216.897003,852.947998,329.084015
89,719.111023,950.169983,257.596985
90,954.682983,837.463989,407.733002
91,805.138977,486.845001,572.366028
92,601.336975,728.997986,388.739990
93,870.513000,170.604004,442.313995
94,66.873001,909.799988,943.861023
95,980.372009,11.652000,320.528992
96,172.998993,477.169006,449.045990
97,580.815979,582.926025,271.911987
98,347.619995,550.741028,193.298004
99,988.721008,543.703003,218.720001
100,445.653015,846.851013,694.331970
101,248.312988,782.185974,900.098022
102,370.114990,879.848022,574.895996
103,920.453003,572.588013,761.414978
104,824.668030,899.223999,205.871002
105,641.684998,680.078003,608.067993
106,292.454010,979.684998,509.687012
107,373.686005,266.552002,735.002991
108,706.521973,629.539001,730.801025
109,864.380981,839.671997,897.721985
110,862.327026,308.679993,824.810974
111,950.460999,863.598999,179.626999
112,32.433998,882.156006,768.187988
113,692.781982,229.998993,638.781982
114,411.626007,232.059998,410.417999
115,809.348022,497.477997,640.484009
116,460.132996,107.787003,804.132019
117,75.320000,799.835022,782.229004
118,613.692017,828.833008,627.966003
119,53.327999,680.158997,517.953979
120,807.320007,784.846985,155.182007
121,258.182007,838.317017,267.532013
122,201.016006,299.325012,903.599976
123,766.729980,365.002014,783.312012
124,661.044006,168.897003,693.523010
125,605.551025,321.678009,251.391998
126,867.286011,116.178001,235.113007
127,559.190979,922.991028,340.919006
128,173.664993,204.188004,25.401001
129,502.065979,777.471008,788.812012
130,158.921997,901.997009,725.257996
131,278.731995,405.613007,660.705994
132,392.147003,725.098999,896.596008
133,370.428986,862.866028,40.388000
134,405.242004,805.341003,408.223999
135,59.973999,699.122986,800.536987
136,83.342003,242.660004,857.773010
137,726.333984,85.899002,39.618000
138,625.528015,40.126999,717.013977
139,847.921997,918.080017,134.675003
140,559.965027,29.703999,521.940002
141,927.603027,865.578979,740.450012
142,112.107002,867.111023,667.577026
143,941.491028,460.450012,273.799011
144,194.427002,8.927000,689.505005
145,583.148010,893.974976,55.935997
146,713.997986,404.665009,930.706970
147,698.508972,119.587006,878.302979
148,14.643999,646.669006,761.364990
149,365.924988,655.375000,457.389008
150,367.247009,772.268005,206.457993
151,636.419006,428.523987,533.692993
152,832.343994,709.820007,875.883972
153,78.026001,884.614990,898.481018
154,504.445007,456.983002,596.583984
155,704.627014,359.808014,1.795000
156,8.396000,772.025024,610.601990
157,663.489014,820.638977,653.331970
158,916.716980,410.114990,298.330994
159,225.139008,345.113007,290.890015
160,525.434998,809.729980,79.710999
161,92.747002,923.408020,178.630005
162,302.290985,249.281006,977.210999
163,465.105988,248.660004,492.096985
164,86.377998,474.269989,425.391998
165,910.755005,602.919983,339.588013
166,592.466003,290.774994,424.170990
167,575.697021,827.260986,577.377014
168,74.383003,52.143002,30.875999
169,721.033997,977.794983,327.144012
170,13.159000,459.041992,351.529999
171,947.135010,156.942993,406.376007
172,402.342010,602.028992,852.304016
173,56.776001,455.631989,417.251007
174,683.908997,356.278015,358.653015
175,126.250000,29.721001,904.497986
176,33.039001,373.493988,336.497986
177,965.195007,253.865997,942.692993
178,35.270000,510.695984,825.638977
179,395.664001,502.927979,24.124001
180,865.763977,389.302002,320.088013
181,535.138000,288.839996,131.582993
182,581.077026,392.031006,757.651001
183,510.924011,451.934998,285.101990
184,190.647995,287.230988,546.914978
185,4.067000,556.059998,15.580000
186,110.430000,477.635010,305.759003
187,130.315002,347.009003,150.259003
188,981.502014,887.789001,178.654999
189,363.615997,120.110001,61.182999
190,714.314026,310.867004,339.921997
191,767.054016,722.093994,782.655029
192,807.098999,553.281006,430.127014
193,600.721985,895.908020,392.278992
194,523.526978,659.258972,294.878998
195,932.388977,573.812988,659.744019
196,678.690002,125.649002,535.463013
197,743.116028,769.565979,740.643005
198,815.596985,859.372009,302.661011
199,727.638977,215.416000,804.804993
200,284.144012,22.219002,323.160004
201,467.345001,560.372009,820.431030
202,790.687012,714.700989,267.682007
203,506.034973,612.867004,544.026978
204,151.039001,936.515991,244.822006
205,2.639000,563.663025,507.406982
206,829.072998,489.739014,507.500000
207,221.173996,322.645996,918.044006
208,829.729004,439.792999,178.770004
209,110.742996,908.288025,2.623000
210,703.403015,554.054993,725.057983
211,514.224976,81.835999,302.877991
212,453.110992,936.034973,607.476013
213,117.844002,320.127991,373.347992
214,522.299011,652.270996,25.389999
215,899.666992,259.449005,65.252998
216,366.770996,869.315002,236.664001
217,154.376007,227.244995,24.588001
218,593.127014,750.822998,221.757004
219,690.810974,704.703979,718.788025
220,590.106995,263.850006,480.912994
221,807.817993,595.294983,259.192993
222,177.326996,378.514008,484.010986
223,573.135010,973.882996,973.289001
224,136.235001,298.565002,272.994995
225,512.927979,908.929016,725.971985
226,686.521973,410.294006,612.684998
227,620.370972,17.462000,739.762024
228,844.888977,866.552002,212.358994
229,429.046997,488.798004,640.072998
230,305.735992,731.422974,277.544006
231,974.304993,117.388000,277.710999
232,845.057007,392.796997,117.252998
233,614.500000,801.645996,377.346985
234,539.684998,196.360992,468.803986
235,550.161987,229.645004,693.203003
236,561.234985,698.609985,411.316986
237,397.148010,486.372009,885.306030
238,309.635986,290.951996,747.229980
239,394.042999,542.226990,947.505005
240,841.200989,641.684021,729.294983
241,370.403992,547.325012,301.716003
242,249.877991,857.601013,446.290985
243,472.627014,686.827026,472.721985
244,140.576004,725.026001,86.699997
245,6.389000,946.898987,350.067993
246,774.455017,180.065002,192.944000
247,661.413025,249.035004,266.014008
248,159.425995,424.187012,317.902008
249,809.169983,651.711975,567.875000
250,900.078003,68.877998,956.799011
251,350.773987,251.487000,546.507996
252,654.008972,808.638977,283.269989
253,597.429993,511.156982,285.270996
254,294.549988,281.609009,869.437988
255,285.161987,492.626007,42.514000
256,785.513977,839.487000,822.679016
257,104.079002,886.812988,457.395996
258,818.388000,328.240997,261.912994
259,865.713989,814.231018,429.809998
260,289.492004,79.633003,579.351013
261,619.877991,495.619995,234.701996
262,514.223022,198.658997,561.088989
263,835.528992,377.359985,279.690002
264,988.861023,426.988007,969.789001
265,108.727997,897.443970,45.505001
266,301.656006,715.539978,442.566986
267,844.401001,806.388977,231.779007
268,306.317993,953.398010,106.974998
269,583.379028,369.227997,727.479980
270,739.773987,307.595001,275.684998
271,315.131989,499.489014,848.648010
272,483.391998,622.361023,980.538025
273,961.926025,408.726990,229.587997
274,119.908997,81.452003,192.630005
275,203.746002,695.538025,307.792999
276,294.039001,369.993011,205.707001
277,460.929993,955.776978,283.170990
278,544.408997,966.919006,371.584991
279,33.729000,938.799988,36.053001
280,843.237976,328.220001,20.497000
281,400.489990,773.848999,400.608002
282,845.510010,128.567001,739.437012
283,124.654007,890.284973,55.754997
284,949.969971,103.338997,257.936005
285,526.974976,964.755005,941.820984
286,479.167999,851.888977,777.046997
287,260.856995,623.526001,666.236023
288,817.643005,505.538025,19.094000
289,262.661011,104.223000,922.945007
290,663.956970,292.123993,891.883972
291,411.686005,132.391998,868.924988
292,941.486023,189.826996,225.895996
293,745.004028,418.662994,239.927002
294,404.734009,515.650024,887.286987
295,1.011000,45.693001,870.465027
296,266.647003,368.278992,301.410004
297,400.265015,745.060974,396.179993
298,699.817017,979.375000,268.359009
299,199.296997,271.998993,533.215027
300,705.171997,584.427002,551.776001
301,169.863007,512.979980,860.075012
302,384.020996,491.072998,798.879028
303,892.424988,864.281006,837.171021
304,150.813004,734.424011,717.387024
305,346.694000,766.426025,439.468994
306,536.468994,256.567993,196.403000
307,141.190002,895.953979,187.903000
308,416.761993,2.426000,284.394012
309,271.782013,803.427002,329.760010
310,295.509003,555.517029,119.608002
311,870.385986,112.517998,561.645020
312,387.345001,842.653992,81.203003
313,219.653000,389.895996,564.176025
314,844.370972,111.752998,452.854004
315,957.388977,250.743988,375.834991
316,335.203003,79.472000,414.658997
317,810.137024,330.403992,857.643005
318,141.606995,844.299011,12.561001
319,857.168030,556.372986,340.830994
320,755.315002,928.474976,717.007019
321,616.127991,954.427002,390.773010
322,846.549988,977.784973,543.825989
323,723.023010,20.129000,410.970001
324,607.874023,738.286011,597.117981
325,765.325012,792.581970,390.101990
326,603.395996,246.309998,317.174011
327,118.561005,796.559021,121.500000
328,297.674011,204.337006,760.007996
329,839.903992,339.109985,103.787003
330,408.648010,177.832993,282.705994
331,566.080994,836.109985,766.984985
332,178.266998,588.353027,865.103027
333,730.309998,124.800995,130.162003
334,205.539993,330.480011,74.624001
335,433.213989,341.566986,245.378006
336,640.929016,773.835022,558.177002
337,225.516006,624.567017,979.745972
338,215.709000,570.663025,402.908997
339,934.138000,361.549011,716.708984
340,484.158997,683.788025,985.565979
341,220.557007,845.249023,166.201004
342,585.013000,800.377991,950.692017
343,270.914001,692.596008,513.294006
344,366.593994,496.095001,52.928001
345,868.708984,567.557983,465.669006
346,374.976990,321.210999,349.026001
347,52.028999,110.632004,477.838013
348,548.879028,755.205017,787.575989
349,821.478027,458.411987,753.260010
350,310.717987,749.309021,415.540009
351,795.953003,49.765999,108.890999
352,796.492981,717.487000,123.291000
353,302.364990,584.947021,559.086975
354,143.207001,411.494995,840.216980
355,834.331970,565.921997,425.584991
356,566.872986,802.479004,906.997009
357,928.973022,66.026001,261.598999
358,634.893982,917.794006,289.299011
359,683.895020,220.595993,67.692001
360,532.945007,446.247986,619.036987
361,726.198975,390.164001,489.363007
362,543.497986,661.801025,853.056030
363,289.268005,218.891998,4.680000
364,612.580994,648.309021,415.859985
365,612.434998,565.091003,328.971008
366,587.169006,304.973999,913.437988
367,947.375977,527.507996,179.231003
368,461.533997,959.281006,592.979004
369,404.695007,568.583008,706.258972
370,747.125000,19.440001,645.215027
371,90.114998,73.698997,576.234985
372,679.507019,696.051025,376.321014
373,723.221985,576.338013,527.747986
374,558.184998,12.895000,511.866028
375,613.445007,267.860992,378.446014
376,5.337000,33.764000,208.386002
377,438.242004,922.872986,830.703003
378,623.057983,80.407997,364.542999
379,605.768005,328.446014,140.399002
380,973.669006,729.088989,466.071014
381,114.571999,499.781006,174.854996
382,748.627991,917.390991,469.281006
383,438.872009,365.389008,801.099976
384,750.137024,142.384003,59.508003
385,508.546021,39.598000,340.398010
386,356.548004,84.198997,715.143982
387,10.058001,3.764000,155.309006
388,149.432007,301.217010,45.902000
389,972.643982,193.837006,508.664978
390,865.609009,387.427002,493.923004
391,504.510010,8.271999,400.213013
392,420.527008,830.526001,910.640991
393,466.527008,770.351990,775.130005
394,213.759995,676.021973,536.612976
395,986.288025,69.978996,30.181000
396,515.547974,9.013000,779.440002
397,894.564026,126.113007,471.898987
398,634.284973,483.787994,90.754997
399,233.518005,851.848022,790.408020
400,291.022003,299.954987,96.485001
401,436.113007,196.440002,886.965027
402,168.167999,418.609009,291.950012
403,119.531006,564.517029,640.497986
404,389.436005,989.546021,764.937988
405,875.783997,100.880997,148.371994
406,900.757019,860.312012,223.227005
407,289.907990,559.338989,512.254028
408,417.322998,739.273010,762.018005
409,98.824997,520.431030,911.653015
410,834.289001,865.562012,458.809998
411,633.348022,138.552002,212.828995
412,306.023010,855.948975,833.570984
413,24.242001,989.007996,31.625999
414,963.228027,209.216003,928.505005
415,918.507996,177.667999,285.471008
416,374.304993,268.592987,600.030029
417,232.401001,385.248993,913.351990
418,312.020996,569.036987,438.903015
419,779.648987,663.934998,891.280029
420,411.117004,624.674011,830.989990
421,736.643005,113.029999,736.513000
422,373.256989,505.492004,386.671997
423,130.904999,271.029999,717.732971
424,184.250000,427.509003,915.716980
425,973.898010,319.328003,833.606018
426,801.799011,351.330994,512.810974
427,699.973022,44.542000,27.418999
428,466.015991,122.393005,659.896973
429,553.817017,516.971008,763.041992
430,280.976013,491.622009,320.562988
431,141.690002,261.024994,46.799999
432,833.367004,480.938995,104.694000
433,163.251999,506.515015,497.026001
434,100.214996,162.311005,522.955017
435,397.923004,171.800995,755.232971
436,686.612000,426.196991,546.791016
437,241.604996,242.813004,126.787003
438,448.463989,531.822021,35.585999
439,720.159973,637.143982,841.106995
440,767.940979,685.513977,897.695007
441,516.622009,956.177002,444.424988
442,715.216980,346.234985,612.187012
443,716.768005,863.448975,938.739990
444,886.159973,248.071014,148.962997
445,892.348999,716.947021,472.493011
446,731.085022,30.054001,430.524994
447,426.522003,177.447998,281.449005
448,652.447021,635.799011,436.626007
449,774.189026,467.209015,57.359001
450,138.427994,720.377991,197.007996
451,28.208000,847.763000,280.894012
452,584.750000,238.998993,84.791000
453,987.138000,818.877014,113.571999
454,886.906982,114.329002,141.990997
455,26.063000,759.143982,347.463013
456,264.683990,85.636002,496.752991
457,969.067017,555.049988,565.844971
458,562.585022,218.602997,741.020996
459,40.835999,314.587006,519.038025
460,158.238007,888.586975,8.812000
461,172.089005,757.737976,372.933990
462,937.940002,340.846008,773.609009
