cell_idx,particle_id,x,y,z
0,53,31.940001,74.053001,37.094002
0,82,8.228000,81.342003,33.304001
0,87,58.303001,98.377998,78.425003
0,130,11.996000,77.445999,67.484001
0,133,8.172000,53.328999,91.599998
0,138,65.919998,78.706001,89.771004
0,154,31.009001,6.708000,42.706001
0,166,34.681000,52.401001,22.754000
0,174,63.441002,47.376999,53.382000
0,201,85.084999,19.601999,65.958000
0,227,73.570000,17.389000,81.430000
0,256,10.470000,76.510002,58.318001
0,290,68.870003,93.060997,16.260000
0,292,14.640000,70.628998,81.255997
0,342,63.320000,39.455002,79.093002
0,385,20.920000,34.763000,84.210999
0,446,85.514999,42.181999,5.841000
0,458,11.905000,80.527000,98.737000
0,467,31.153000,81.223000,93.765999
0,493,60.629002,20.606001,88.031998
0,540,66.955002,89.134003,35.247002
0,601,9.182000,26.319000,43.740002
0,604,93.682999,13.193000,43.544998
0,607,35.641998,21.330000,0.044000
0,627,50.817001,67.245003,87.155998
0,650,66.539001,73.013000,28.819000
0,674,96.946999,75.811996,44.792000
0,679,48.907001,15.706000,17.986000
0,695,3.550000,94.628998,51.280998
0,698,12.060000,74.900002,29.158001
0,720,59.097000,56.174000,16.077999
0,753,45.948002,45.915001,7.555000
0,798,7.194000,40.789001,29.747000
0,805,14.640000,23.447001,60.144001
0,864,25.879999,90.732002,85.370003
0,891,55.707001,0.797000,15.305000
0,900,15.892000,92.964996,84.498001
0,911,28.076000,55.801998,46.631001
0,913,65.363998,27.259001,9.421000
0,942,63.077999,37.650002,49.868000
0,979,89.332001,12.374000,5.711000
0,981,37.160000,64.152000,27.497000
0,1012,58.134998,15.342000,99.861000
100,742,20.114000,84.652000,167.850998
100,746,20.891001,69.135002,194.567993
100,809,87.383003,41.869999,166.764008
100,863,42.183998,88.464996,137.335999
100,884,60.618999,93.862000,124.253998
100,908,79.702003,0.696000,111.748001
100,917,69.407997,95.010002,122.950996
100,970,48.514000,32.154999,154.649002
100,1016,15.468000,31.530001,177.901993
100,30,27.195999,31.134001,176.656998
100,50,37.119999,60.630001,198.522995
100,78,57.297001,25.048000,186.630005
100,85,64.852997,42.248001,184.787003
100,123,24.243000,82.853996,149.891998
100,134,10.535000,54.516998,178.264008
100,149,20.548000,5.781000,119.017998
100,173,55.938999,29.166000,194.541000
100,211,49.667999,33.648998,191.141998
