particle_id,x,y,z
0,83.461998,416.140015,989.455994
1,851.880005,276.199005,521.299011
2,820.523010,385.890991,727.328979
3,68.549004,664.630005,856.611023
4,298.671997,22.301001,41.786999
5,663.976990,465.208008,997.556030
6,488.778015,89.257004,628.408997
7,766.179016,820.883972,14.602000
8,934.372986,539.870972,138.341995
9,83.922997,605.557983,327.227997
10,509.035004,195.604004,632.385986
11,64.544998,381.270996,894.263000
12,228.106003,474.015991,335.441986
13,165.169006,905.726990,513.103027
14,421.644989,388.186005,347.985992
15,311.945007,57.077000,69.537003
16,458.681000,758.958984,620.783020
17,352.713989,21.351999,814.947998
18,631.309021,489.871002,123.808998
19,2.158000,291.867004,987.280029
20,37.028000,719.546021,340.649994
21,39.332001,298.260986,737.971008
22,173.110001,491.527008,227.542999
23,156.858994,417.937988,950.448975
24,1.910000,924.273987,8.297000
25,257.928009,561.216980,643.159973
26,212.128998,449.578003,598.538025
27,379.084991,578.523987,756.953979
28,978.833984,463.657990,319.959991
29,237.783005,169.511002,467.459991
30,546.041992,299.585999,288.041992
31,382.791992,103.704002,254.550003
32,522.692993,848.372009,871.937012
33,319.325012,879.109985,226.863998
34,331.895996,312.412994,784.304016
35,374.753998,997.312012,207.626007
36,379.240997,325.773987,196.272995
37,186.589996,603.309998,223.692001
38,446.493011,780.054016,418.028015
39,84.772003,683.463013,475.714996
40,928.921021,388.130005,13.935000
41,865.685974,217.167999,8.216000
42,136.537003,139.358994,276.984985
43,916.398987,496.139008,221.798996
44,315.240997,120.110001,50.827000
45,129.067001,116.418999,517.333008
46,51.763000,285.266998,712.299988
47,68.078003,851.466003,250.113998
48,217.593002,977.538025,651.781982
49,979.500000,91.803001,459.615997
50,206.815994,942.138000,480.204987
51,671.387024,865.206970,785.151001
52,318.013000,347.210999,419.200012
53,312.687012,688.817017,917.823975
54,202.037003,12.019000,39.444000
55,281.505005,292.985992,694.140991
56,495.464996,764.976013,550.737976
57,792.773010,264.233002,382.631989
58,75.348000,506.494995,281.321991
59,238.602005,454.979004,394.765015
60,603.926025,337.265991,62.368999
61,56.438999,986.911987,634.549988
62,687.234009,402.901001,95.876999
63,683.687988,444.503998,158.647003
64,414.154999,128.199997,946.127991
65,705.164001,796.814026,660.640015
66,756.190979,121.988998,138.138000
67,386.950989,692.880005,730.713989
68,34.756001,660.950012,612.648987
69,519.159973,989.916016,519.919006
70,906.856018,267.287994,438.769012
71,87.964996,705.585022,307.253998
72,289.752014,157.154999,284.195007
73,213.389999,814.900024,447.601990
74,131.610992,698.526978,120.427002
75,928.924988,324.983002,790.684998
76,371.944000,896.161987,833.184021
77,452.345001,595.731018,101.941002
78,192.942001,805.625000,617.318970
79,470.996002,434.390991,427.546997
80,115.872002,414.639008,873.559021
81,666.140991,1.155000,2.276000
82,181.313004,820.681030,257.951996
83,707.078979,447.640991,319.329010
84,164.100006,785.372009,226.947998
85,226.337006,68.466003,62.382999
86,916.755005,610.588989,223.578995
87,940.338013,834.033020,897.760986
88,575.807007,311.484985,846.366028
89,639.109009,954.862000,640.700989
90,932.856995,645.679993,688.333008
91,959.088989,617.447998,588.950012
92,433.007996,458.980988,467.996002
93,262.234985,927.421997,720.443970
94,141.656998,10.846000,266.856995
95,57.974998,921.632019,396.378998
96,679.426025,254.492996,342.438995
