particle_id,x,y,z
0,10.949000,11.697000,18.705000
1,17.337999,7.227000,10.671000
2,14.643000,23.350000,2.740000
3,25.299999,11.729000,5.794000
4,13.735000,14.825000,4.312000
5,4.671000,15.545000,14.911000
6,29.018999,25.820999,18.893000
7,18.867001,16.271000,0.365000
8,19.844999,21.816000,14.323000
9,23.763000,23.658001,11.848000
10,9.830000,29.142000,26.980000
11,2.966000,7.506000,22.089001
12,22.194000,6.981000,17.864000
13,10.505000,7.912000,18.525000
14,10.595000,23.603001,16.174000
15,1.285000,22.849001,27.930000
16,18.823000,25.125999,9.891000
17,5.356000,28.844999,29.271999
18,18.246000,23.468000,5.661000
19,15.750000,15.496000,24.496000
20,28.691000,13.837000,9.666000
21,11.801000,2.284000,28.278000
22,4.180000,1.661000,2.002000
23,0.552000,18.596001,15.133000
24,10.685000,5.879000,9.945000
25,19.996000,26.308001,24.580000
26,5.733000,11.194000,24.805000
27,8.598000,29.312000,8.262000
28,2.077000,4.869000,25.924000
29,12.643000,26.170000,4.336000
30,12.701000,3.042000,8.951000
31,5.837000,17.740000,17.108000
32,26.448999,9.481000,26.818001
33,19.660999,4.504000,5.217000
34,18.899000,5.157000,6.626000
35,18.496000,21.096001,9.325000
36,18.066999,29.811001,13.583000
37,10.130000,15.015000,26.615000
38,2.041000,1.824000,25.164000
39,13.147000,3.413000,9.011000
40,5.473000,28.024000,18.097000
41,20.191999,0.005000,14.446000
42,22.600000,18.968000,20.652000
43,25.958000,20.719000,16.426001
44,14.816000,28.767000,15.604000
45,17.073999,0.865000,9.715000
46,18.049999,18.607000,16.364000
47,14.264000,25.844999,27.840000
48,27.999001,25.412001,4.063000
49,10.108000,3.421000,21.459999
50,0.977000,5.690000,26.281000
51,10.178000,12.309000,6.815000
52,24.573000,20.843000,23.511000
53,15.305000,24.374001,18.945000
54,12.979000,19.323999,13.616000
55,7.316000,0.573000,21.073999
56,21.381001,10.214000,10.093000
57,17.343000,4.520000,8.909000
58,21.313999,23.938999,21.437000
59,3.386000,17.829000,26.295000
60,15.027000,16.634001,6.417000
61,21.372000,10.305000,27.802000
62,13.705000,11.527000,20.740000
63,15.021000,15.652000,2.442000
64,23.181999,10.657000,17.591000
65,14.633000,2.360000,3.696000
66,15.938000,26.839001,17.198999
67,29.482000,12.107000,18.101000
68,28.431999,10.819000,16.250000
69,21.187000,16.466000,22.509001
70,3.752000,28.802999,13.784000
71,1.348000,21.577999,25.052000
72,5.197000,9.309000,9.395000
73,14.295000,22.546000,2.619000
74,2.584000,1.834000,24.367001
75,29.465000,3.594000,10.055000
76,19.118000,20.330000,9.578000
77,6.347000,28.177999,11.275000
78,25.083000,21.183001,13.526000
79,15.412000,20.605000,3.555000
80,21.393999,1.712000,29.652000
81,21.521000,21.528000,19.520000
82,9.630000,29.798000,4.026000
83,16.065001,21.346001,2.490000
84,25.833000,10.363000,9.172000
85,12.481000,10.262000,2.600000
86,26.299999,25.448000,26.610001
87,4.133000,14.897000,17.830000
88,11.224000,5.960000,23.103001
89,11.765000,19.847000,10.572000
90,6.595000,22.892000,24.136000
91,0.194000,7.495000,29.236000
92,16.795000,22.965000,21.148001
93,7.750000,17.079000,15.597000
94,9.772000,26.789000,18.813000
95,9.425000,15.805000,2.013000
96,24.009001,25.344000,3.611000
97,6.734000,21.080999,11.882000
98,15.100000,13.634000,6.109000
99,24.888000,19.941999,19.035000
100,5.659000,4.841000,27.061001
101,28.921000,14.166000,23.084999
102,19.908001,20.157000,22.893999
103,14.058000,16.643000,29.464001
104,4.791000,0.464000,22.118999
105,13.276000,13.733000,17.267000
106,12.647000,0.224000,21.389999
107,27.386999,16.657000,17.098000
108,10.709000,19.653999,25.521000
109,15.633000,0.747000,15.810000
110,19.149000,15.035000,28.215000
111,24.473000,1.466000,26.374001
112,4.102000,28.646000,19.731001
113,15.273000,11.924000,14.876000
114,21.648001,29.898001,10.386000
115,12.080000,4.779000,15.890000
116,3.536000,4.578000,5.542000
117,22.202000,22.476999,3.032000
118,9.223000,17.377001,12.205000
119,11.845000,2.049000,11.486000
120,4.633000,5.855000,14.799000
121,28.739000,13.705000,2.335000
122,22.732000,21.349001,6.555000
123,20.164000,0.022000,11.252000
124,2.209000,8.945000,17.018000
125,8.209000,5.845000,21.414000
126,10.954000,21.235001,0.165000
127,13.150000,15.157000,24.143000
128,23.783001,8.761000,10.557000
129,16.284000,18.406000,24.325001
130,23.004000,22.764000,8.269000
131,23.511000,14.956000,28.415001
132,29.617001,29.025000,24.462000
133,28.721001,8.464000,4.928000
134,19.035000,0.029000,18.097000
135,22.981001,27.448000,11.651000
136,4.092000,25.433001,27.900000
137,23.398001,27.570999,19.257000
138,27.792999,26.976000,14.440000
139,12.033000,9.752000,0.658000
140,25.184999,5.077000,12.608000
141,3.195000,8.614000,23.028999
142,14.382000,28.084999,28.948000
143,6.035000,5.313000,28.617001
144,9.028000,15.680000,28.518999
145,1.980000,18.833000,20.676001
146,23.124001,21.568001,6.099000
147,0.099000,7.820000,4.421000
148,29.459999,16.656000,4.478000
149,29.760000,9.285000,18.594999
150,16.927999,27.551001,27.811001
151,0.326000,20.924999,25.223000
152,25.275000,29.195999,13.878000
153,7.669000,15.437000,19.054001
154,21.120001,18.572001,29.974001
155,22.495001,15.511000,20.746000
156,17.224001,3.113000,22.879000
157,11.690000,29.466000,12.697000
158,20.132999,4.741000,1.797000
159,5.060000,23.381001,18.302999
160,22.538000,29.121000,14.956000
161,21.320999,17.527000,4.142000
162,24.921000,28.281000,7.519000
163,23.591999,15.935000,7.401000
