particle_id,x,y,z
1,91.249001,13.337000,94.194000
2,13.534000,18.700001,32.466999
3,86.707001,16.523001,29.650999
4,76.024002,59.270000,84.487000
5,21.955999,9.582000,4.975000
6,58.894001,37.737000,0.745000
7,32.181999,82.634003,66.223999
8,49.360001,77.764999,0.477000
9,78.054001,93.584999,68.330002
10,31.209999,83.432999,88.369003
11,16.219999,60.271000,18.582001
12,16.010000,19.153999,81.771004
13,10.673000,91.453003,25.448999
14,51.270000,47.974998,11.067000
15,9.713000,2.389000,9.005000
16,86.860001,12.283000,49.069000
17,40.070000,76.018997,27.094000
18,36.264999,37.736000,53.250000
19,96.422997,16.660999,12.131000
20,71.480003,96.978996,91.086998
21,8.817000,35.344002,69.305000
22,30.016001,23.204000,63.167999
23,14.320000,29.134001,31.622999
24,50.379002,52.651001,20.193001
25,79.696999,82.849998,88.399002
26,90.811996,27.268999,86.129997
27,95.931000,60.750999,53.730000
28,35.807999,36.958000,62.605000
29,32.483002,32.542999,46.368000
30,1.005000,29.468000,49.021999
31,97.521004,19.027000,77.068001
32,77.999001,96.549004,85.665001
33,90.702003,29.372000,93.792999
34,36.532001,2.961000,16.267000
35,0.839000,49.658001,91.790001
36,96.473999,33.175999,30.854000
37,31.007000,25.580000,24.995001
38,93.399002,4.655000,96.592003
39,28.985001,92.585999,94.774002
40,99.351997,23.423000,58.094002
41,88.497002,42.866001,7.600000
42,33.652000,73.450996,47.083000
43,87.556999,20.256001,38.902000
44,89.502998,11.017000,72.783997
45,39.014999,99.943001,91.417999
46,16.468000,8.365000,85.866997
47,30.219000,81.714996,43.117001
48,8.428000,91.678001,70.829002
49,70.595001,75.931999,30.466999
50,20.645000,42.574001,87.249001
51,28.521000,32.574001,92.596001
52,72.820999,12.181000,4.902000
53,54.445999,64.666000,36.026001
54,89.648003,70.703003,78.588997
55,31.541000,24.139000,66.797997
56,48.557999,82.408997,40.567001
57,32.539001,88.865997,51.205002
58,41.111000,82.484001,12.945000
59,69.361000,97.192001,9.933000
60,25.766001,35.912998,19.702000
61,9.228000,65.668999,80.373001
62,90.478996,88.724998,45.478001
63,79.230003,2.277000,1.709000
64,78.375999,70.667999,35.153000
65,71.121002,22.108000,18.389000
66,87.845001,27.478001,11.800000
67,11.478000,89.182999,40.706001
68,22.917000,77.516998,54.370998
69,74.364998,92.679001,99.356003
70,74.334999,48.986000,46.445999
71,93.559998,46.240002,60.939999
72,61.062000,27.551001,4.638000
73,65.606003,88.514999,26.493999
74,45.004002,8.695000,50.548000
75,65.051003,27.903999,79.636002
76,2.085000,99.742996,45.398998
77,50.372002,28.153000,77.310997
78,46.862999,6.493000,85.717003
79,31.268999,48.995998,69.635002
80,38.808998,81.147003,44.793999
81,84.771004,47.763000,34.877998
82,48.391998,10.208000,3.757000
83,11.991000,2.875000,14.151000
84,77.023003,7.297000,80.582001
85,56.848000,62.146999,64.737999
86,21.709000,3.262000,87.487000
87,77.723000,6.689000,7.741000
88,11.004000,9.912000,60.506001
89,83.259003,40.638000,11.536000
90,51.796001,84.558998,73.878998
91,61.403999,20.337999,69.480003
92,34.007999,1.430000,65.724998
93,34.591000,36.122002,87.379997
94,15.340000,51.105999,64.941002
95,55.432999,96.322998,74.793999
96,34.891998,0.909000,36.624001
97,34.535999,58.428001,11.500000
98,57.589001,14.398000,10.425000
99,14.623000,17.468000,49.338001
100,26.377001,74.400002,66.349998
101,45.201000,15.935000,15.025000
102,83.920998,41.293999,13.977000
103,47.147999,5.815000,63.692001
104,36.304001,71.007004,66.762001
105,56.210999,31.302000,80.692001
106,92.974998,75.380997,94.666000
107,53.144001,61.859001,16.282000
108,93.694000,23.125999,43.499001
109,56.339001,25.267000,34.712002
110,37.347000,34.362999,41.525002
111,75.311996,47.904999,38.861000
112,7.669000,87.226997,50.306999
113,77.292999,37.043999,42.848000
114,42.074001,57.168999,5.947000
115,74.777000,14.919000,32.298000
116,6.240000,12.590000,10.055000
117,83.016998,81.288002,28.893999
118,28.285000,17.566000,47.776001
119,94.210999,84.871002,4.188000
120,86.001999,35.743999,5.085000
121,90.579002,11.673000,21.604000
122,54.854000,18.099001,25.132000
123,24.516001,64.285004,69.764999
124,98.427002,47.588001,46.530998
125,48.868000,77.152000,85.684998
126,53.918999,15.527000,10.672000
127,66.402000,65.094002,40.935001
128,49.513000,25.906000,84.055000
129,51.844002,14.258000,7.412000
130,30.252001,75.834999,89.750999
131,3.961000,24.664000,53.473000
132,21.521999,34.437000,83.043999
133,40.062000,88.365997,89.816002
134,55.187000,76.706001,64.664001
135,74.146004,56.889999,21.042999
136,38.333000,60.577000,66.861000
137,19.190001,27.224001,16.902000
138,20.820999,65.195000,99.246002
139,26.396000,93.037003,0.931000
140,45.354000,36.994999,41.625000
141,74.531998,45.313000,80.760002
142,4.539000,4.269000,19.985001
143,40.533001,49.675999,60.208000
144,54.287998,91.085999,74.677002
145,81.739998,36.724998,94.302002
146,60.346001,40.321999,41.264000
147,23.693001,88.722000,43.730999
148,61.759998,28.700001,16.823999
149,26.284000,14.740000,37.620998
150,80.172997,85.060997,91.094002
151,57.230999,59.310001,64.707001
152,82.116997,65.931999,74.380997
153,17.659000,52.527000,41.474998
154,34.835999,57.139000,3.958000
155,77.654999,11.764000,26.391001
156,17.841000,18.851000,83.859001
157,31.136999,55.424999,59.639999
158,61.891998,38.398998,42.094002
159,23.014000,73.101997,3.912000
160,40.632999,45.363998,20.490000
161,94.902000,95.737999,89.565002
162,23.552000,60.012001,61.522999
163,72.002998,16.212000,64.459999
164,64.599998,72.200996,54.703999
165,89.153000,22.688000,25.396999
166,66.292999,12.832000,6.182000
167,90.347000,65.126999,88.570999
168,87.327003,64.176003,72.470001
169,26.743000,16.875999,63.512001
170,46.242001,32.005001,7.677000
171,92.007004,99.234001,29.503000
172,16.518000,14.099000,32.005001
173,71.321999,93.377998,62.761002
174,77.806000,22.826000,96.305000
175,70.032997,88.433998,54.761002
176,88.940002,85.223000,39.189999
177,8.633000,31.259001,54.618999
178,95.458000,35.941002,22.705999
